ICE_IME_id	ICE_IME_id_need_manual_curation	Segment_number	Comments_ICE_IME_structure	Is_hit_blast	Is_hit_HMM	CDS_num	Genome_accession	Genome_accession_rank	CDS_locus_tag	CDS_protein_id	CDS_strand	CDS_start	CDS_end	CDS_length	Is_pseudo	CDS_Protein_type	CDS_Protein_type_blast	Description_of_blast_most_similar_ref_SP	Id_of_blast_most_similar_ref_SP	Length_of_blast_most_similar_ref_SP	Blast_ali_length	Blast_ali_start_CDS	Blast_ali_end_CDS	Blast_ali_start_Query_blast	Blast_ali_end_Query_blast	Blast_ali_identity_perc	Blast_ali_E-value	Blast_ali_bitscore	CDS_coverage_blast	Blast_ali_coverage_most_similar_ref_SP	Protein_type_of_blast_most_similar_ref_SP	Associated_element_type_of_blast_most_similar_ref_SP	ICE_superfamily_of_most_similar_ref_SP	ICE_family_of_most_similar_ref_SP	IME_superfamily_of_most_similar_ref_SP	Relaxase_family_domain_of_most_similar_ref_SP	Relaxase_family_MOB_of_most_similar_ref_SP	Coupling_type_of_most_similar_ref_SP	False_positives	SP_blast_validation	Use_annotation	Protein_type_of_matching_HMM_profile	Description_of_matching_HMM_profile	Profile_name	Length_of_matching_HMM_profile	HMM_ali_i-Evalue	HMM_ali_E-value	HMM_ali_Score	HMM_ali_Bias	HMM_ali_Global_score	HMM_ali_Global_bias	HMM_coverage	CDS_coverage_hmm
		1		1	1	1108	NC_013316.1	1	CDR20291_RS05950	WP_009888987.1	-	1285481	1286998	505	-	Serine integrase	Serine integrase	Serine integrase	BAN61771	548.0	442.0	3.0	403.0	13.0	438.0	25.57	1.62e-28	111.0	79.41	77.74	Integrase	IME	-	-	-	-	-	-	-	validated	no	Serine integrase	Serine recombinase	Recombinase	104	3.6e-29	2.3e-29	87.6	4.5	88.1	5.6	99.04	21.98
		2		1	1	1462	NC_013316.1	1	CDR20291_RS07710	WP_003429803.1	-	1671047	1672177	376	-	Tyrosine integrase	Tyrosine integrase	Tyrosine integrase	AAO80040	388.0	389.0	6.0	376.0	6.0	366.0	29.31	8.5e-37	131.0	98.67	93.04	Integrase	ICE	-	-	-	-	-	-	-	validated	no	Tyrosine integrase	Tyrosine integrase	Phage_integrase	172	2.1e-35	2.1e-35	108.2	0.5	108.2	0.5	98.84	49.73
ID_1		3	Conjugaison module SP CDR20291_RS09505 is being associated with same family CDR20291_RS09835, CDR20291_RS09900. The now former ICE / IME structure __IMEICEID_BasicEMStructure__7__ (CDR20291_RS09835, CDR20291_RS09900, CDR20291_RS09960) is being merged into the ICE / IME structure ID_1 (CDR20291_RS09505 [Pseudo]). 	1	1	1820	NC_013316.1	1	CDR20291_RS09505	-	+	2042600	2043586	329	Pseudo	Coupling protein	Coupling protein	Coupling protein VirD4	EIK41739	594.0	329.0	1.0	329.0	1.0	329.0	96.66	0.0	664.0	100.0	55.39	Coupling protein	ICE	Tn5252	Tn1549	-	-	-	VirD4	-	manual_check_needed	yes	Coupling protein	VirD4	t4cp1	110	7.700000000000001e-23	3.7e-23	67.7	0.0	68.7	0.0	98.18	32.22
ID_2		3		1	1	1821	NC_013316.1	1	CDR20291_RS09510	WP_012816185.1	+	2043677	2045557	626	-	Serine integrase	Serine integrase	Serine integrase	AGU83715	615.0	603.0	1.0	596.0	1.0	600.0	60.86	0.0	741.0	95.21	97.56	Integrase	IME	-	-	-	-	-	-	-	validated	yes	Serine integrase	Serine recombinase	Recombinase	104	5e-24	1.5999999999999999e-24	71.0	0.3	72.6	0.3	98.08	19.49
ID_2		3		1	1	1836	NC_013316.1	1	CDR20291_RS09585	WP_104732839.1	+	2054070	2055515	481	-	Relaxase	Relaxase	Relaxase MOBQ (PF03389)	AEJ24993	494.0	481.0	6.0	471.0	3.0	482.0	41.79	9.389999999999999e-142	410.0	96.88	97.17	Relaxase	IME	-	-	PF03389	PF03389	MOBQ	-	-	validated	yes	Relaxase	MOBQ	T4SS_MOBQ	217	1.1e-79	5.2e-80	253.2	0.1	254.3	0.1	98.62	47.19
	ID_2 ID_3	3	The SP CDR20291_RS09625 could be attributed to the ICE / IME structure ID_2 or ID_3, please manually check. 	0	1	1844	NC_013316.1	1	CDR20291_RS09625	-	+	2059197	2059778	194	Pseudo	Coupling protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coupling protein	VirD4	t4cp2	222	1.1999999999999999e-41	1.1e-41	128.5	0.1	128.7	0.1	79.73	90.72
ID_3		3		0	1	1850	NC_013316.1	1	CDR20291_RS09655	WP_021422885.1	+	2062894	2064138	414	-	Relaxase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Relaxase	MOBV	T4SS_MOBV	204	2.8e-10	2.8e-10	26.6	4.5	26.6	4.5	56.37	35.99
ID_3		3	Downstream integrase CDR20291_RS09675 has been associated to the structure ID_3 pre-merging because it is adjacent to the conj module and there is no upstream/downstream ambiguity. 	1	1	1854	NC_013316.1	1	CDR20291_RS09675	WP_012816204.1	+	2066666	2068318	550	-	Serine integrase	Serine integrase	Serine integrase	WP_041179472.1	539.0	559.0	1.0	545.0	1.0	538.0	38.64	7.72e-140	409.0	99.09	99.81	Integrase	IME	-	-	-	-	-	-	-	validated	yes	Serine integrase	Serine recombinase	Recombinase	104	1.4e-25	3.1e-26	76.0	0.0	78.1	0.1	100.0	21.27
	ID_4	3	Upstream integrase CDR20291_RS09685 is NOT significantly further away to ICE/IME structure ID_4 (21 CDSs, higher cutoff is 40 CDSs) than downstream integrase CDR20291_RS09810 (4 CDSs, lower cutoff is 20 CDSs). Could not choose assigning between upstream or downstream integrases CDR20291_RS09685, CDR20291_RS09810 to structure ID_4, please manually check. 	1	1	1856	NC_013316.1	1	CDR20291_RS09685	WP_009893984.1	-	2068845	2070518	557	-	Serine integrase	Serine integrase	Serine integrase	AGU73060	536.0	533.0	5.0	533.0	8.0	533.0	41.84	3.79e-148	430.0	94.97	98.13	Integrase	IME	-	-	-	-	-	-	-	validated	yes	Serine integrase	Serine recombinase	Recombinase	104	7.9e-23	3.6e-23	67.2	0.3	68.3	0.3	100.0	22.44
ID_4		3		1	1	1877	NC_013316.1	1	CDR20291_RS09790	WP_042520383.1	+	2081933	2083513	526	-	Relaxase	Relaxase	Relaxase MOBQ (PF03389)	BAM61386	550.0	487.0	5.0	478.0	6.0	488.0	36.55	9.91e-103	314.0	90.11	87.82	Relaxase	IME	-	-	PF03389	PF03389	MOBQ	-	-	validated	yes	Relaxase	MOBQ	T4SS_MOBQ	217	3.8999999999999995e-68	1.4999999999999998e-68	215.5	0.6	216.8	0.6	99.08	43.73
